organisation,competition,season,grade,round date,round,home team,away team,venue,playing surface,game date,game time,game alias
McKinnon Basketball Association,'Victorian Oral & Facial Surgeons' Junior Domestic (U8-U20),Winter 2026,Saturday U10 Boys Div  2,13/6/2026,6,ABA U10 Wolverines Mighty,Saints U10 Boys Sonics,,,13/6/2026,,
McKinnon Basketball Association,'Victorian Oral & Facial Surgeons' Junior Domestic (U8-U20),Winter 2026,Saturday U10 Boys Div  5,13/6/2026,6,ABA U10 Wolverines Shatter,JETS U10 Boys Dan,,,13/6/2026,,
McKinnon Basketball Association,'Victorian Oral & Facial Surgeons' Junior Domestic (U8-U20),Winter 2026,Saturday U12 Boys Div  6,13/6/2026,6,ABA U12 Wolverines Alpha,JETS U12 Boys Chris,,,13/6/2026,,
McKinnon Basketball Association,'Victorian Oral & Facial Surgeons' Junior Domestic (U8-U20),Winter 2026,Saturday U12 Boys Div 12,13/6/2026,6,ABA U12 Wolverines Fire,Saints U12 Boys Lightning,,,13/6/2026,,
McKinnon Basketball Association,'Victorian Oral & Facial Surgeons' Junior Domestic (U8-U20),Winter 2026,Saturday U12 Boys Div 12,13/6/2026,6,ABA U12 Wolverines Fury,Carnegie Chargers U12 Boys Ro,,,13/6/2026,,
McKinnon Basketball Association,'Victorian Oral & Facial Surgeons' Junior Domestic (U8-U20),Winter 2026,Saturday U12 Boys Div 10,13/6/2026,6,ABA U12 Wolverines Storm,JETS U12 Boys Zane,,,13/6/2026,,
McKinnon Basketball Association,'Victorian Oral & Facial Surgeons' Junior Domestic (U8-U20),Winter 2026,Saturday U12 Boys Div  4,13/6/2026,6,ABA U12 Wolverines Venom,JETS U12 Boys Wills,,,13/6/2026,,
McKinnon Basketball Association,'Victorian Oral & Facial Surgeons' Junior Domestic (U8-U20),Winter 2026,Saturday U14 Boys Div  5,13/6/2026,6,ABA U14 Wolverines Invaders,Saints U14 Boys Tigers,,,13/6/2026,,
McKinnon Basketball Association,'Victorian Oral & Facial Surgeons' Junior Domestic (U8-U20),Winter 2026,Saturday U14 Boys Div  2,13/6/2026,6,ABA U14 Wolverines Savage,Lakers U14 Boys Electric Blue,,,13/6/2026,,
McKinnon Basketball Association,'Victorian Oral & Facial Surgeons' Junior Domestic (U8-U20),Winter 2026,Saturday U16 Boys Div 11,13/6/2026,6,ABA U16 Wolverines Combat,Lakers U16 Boys Maroon,,,13/6/2026,,
McKinnon Basketball Association,'Victorian Oral & Facial Surgeons' Junior Domestic (U8-U20),Winter 2026,Saturday U16 Boys Div 12,13/6/2026,6,ABA U16 Wolverines Stealth,Lakers U16 Boys Green,,,13/6/2026,,
McKinnon Basketball Association,'Victorian Oral & Facial Surgeons' Junior Domestic (U8-U20),Winter 2026,Saturday U14 Boys Div  8,13/6/2026,6,Apollo Warriors U14 Boys,Vampires Basketball U14 Boys King Ballers,,,13/6/2026,,
McKinnon Basketball Association,'Victorian Oral & Facial Surgeons' Junior Domestic (U8-U20),Winter 2026,Saturday U14 Boys Div 14,13/6/2026,6,Black Wolves U14 Boys,MM U14 Boys Kings,,,13/6/2026,,
McKinnon Basketball Association,'Victorian Oral & Facial Surgeons' Junior Domestic (U8-U20),Winter 2026,Saturday U12 Boys Div  7,13/6/2026,6,Blue Wolves U12 Boys,Lakers U12 Boys Burgundy,,,13/6/2026,,
McKinnon Basketball Association,'Victorian Oral & Facial Surgeons' Junior Domestic (U8-U20),Winter 2026,Saturday U16 Boys Div 10,13/6/2026,6,Blue Wolves U16 Boys,Black Wolves U16 Boys,,,13/6/2026,,
McKinnon Basketball Association,'Victorian Oral & Facial Surgeons' Junior Domestic (U8-U20),Winter 2026,Saturday U18 Boys Div  4,13/6/2026,6,Brave Warriors U18 Boys,MM U18 Boys Bullets,,,13/6/2026,,
McKinnon Basketball Association,'Victorian Oral & Facial Surgeons' Junior Domestic (U8-U20),Winter 2026,Saturday U14 Boys Div  2,13/6/2026,6,Bucks Wolves U14 Boys,Ice Wolves U14 Boys,,,13/6/2026,,
McKinnon Basketball Association,'Victorian Oral & Facial Surgeons' Junior Domestic (U8-U20),Winter 2026,Saturday U10 Boys Div  2,13/6/2026,6,Carnegie Chargers U10 Boys Andrew,RAPTORS U10 Boys Damien,,,13/6/2026,,
McKinnon Basketball Association,'Victorian Oral & Facial Surgeons' Junior Domestic (U8-U20),Winter 2026,Saturday U10 Boys Div  5,13/6/2026,6,Carnegie Chargers U10 Boys Justin,Carnegie Chargers U10 Boys Greg & Darcy,,,13/6/2026,,
McKinnon Basketball Association,'Victorian Oral & Facial Surgeons' Junior Domestic (U8-U20),Winter 2026,Saturday U12 Boys Div 13,13/6/2026,6,Carnegie Chargers U12 Boys Archer,Lakers U12 Boys White,,,13/6/2026,,
McKinnon Basketball Association,'Victorian Oral & Facial Surgeons' Junior Domestic (U8-U20),Winter 2026,Saturday U12 Boys Div  9,13/6/2026,6,Carnegie Chargers U12 Boys Hudson,Saints U12 Boys Clippers,,,13/6/2026,,
McKinnon Basketball Association,'Victorian Oral & Facial Surgeons' Junior Domestic (U8-U20),Winter 2026,Saturday U12 Boys Div  7,13/6/2026,6,Carnegie Chargers U12 Boys Justin,Vampires U12 Boys Thunderbolts,,,13/6/2026,,
McKinnon Basketball Association,'Victorian Oral & Facial Surgeons' Junior Domestic (U8-U20),Winter 2026,Saturday U12 Boys Div  1 (Pool 2),13/6/2026,6,Carnegie Chargers U12 Boys Mina,Saints U12 Boys Giants,,,13/6/2026,,
McKinnon Basketball Association,'Victorian Oral & Facial Surgeons' Junior Domestic (U8-U20),Winter 2026,Saturday U14 Boys Div 11,13/6/2026,6,Carnegie Chargers U14 Boys Chargerinos,Snow Wolves U14 Boys,,,13/6/2026,,
McKinnon Basketball Association,'Victorian Oral & Facial Surgeons' Junior Domestic (U8-U20),Winter 2026,Saturday U14 Boys Div 13,13/6/2026,6,Carnegie Chargers U14 Boys Izzy,Carnegie Chargers U14 Boys Pistols,,,13/6/2026,,
McKinnon Basketball Association,'Victorian Oral & Facial Surgeons' Junior Domestic (U8-U20),Winter 2026,Saturday U14 Boys Div  9,13/6/2026,6,Carnegie Chargers U14 Boys Nick,JETS U14 Boys Piers,,,13/6/2026,,
McKinnon Basketball Association,'Victorian Oral & Facial Surgeons' Junior Domestic (U8-U20),Winter 2026,Saturday U16 Boys Div  8,13/6/2026,6,Carnegie Chargers U16 Boys Allen,Lakers U16 Boys Black,,,13/6/2026,,
McKinnon Basketball Association,'Victorian Oral & Facial Surgeons' Junior Domestic (U8-U20),Winter 2026,Saturday U16 Boys Div  4,13/6/2026,6,Carnegie Chargers U16 Boys Greg,Shadow Wolves U16 Boys,,,13/6/2026,,
McKinnon Basketball Association,'Victorian Oral & Facial Surgeons' Junior Domestic (U8-U20),Winter 2026,Saturday U16 Boys Div  7,13/6/2026,6,Carnegie Chargers U16 Boys Manny,ABA U16 Wolverines Hunters,,,13/6/2026,,
