organisation,competition,season,grade,round date,round,home team,away team,venue,playing surface,game date,game time,game alias
McKinnon Basketball Association,'Victorian Oral & Facial Surgeons' Junior Domestic (U8-U20),Winter 2026,Saturday U8 Mixed BLUE,13/6/2026,6,Carnegie Chargers U8 Mixed Tobias,BYE,,,,,
McKinnon Basketball Association,'Victorian Oral & Facial Surgeons' Junior Domestic (U8-U20),Winter 2026,Saturday U16 Boys Div  7,13/6/2026,6,East Malvern Hot Shots,BYE,,,,,
McKinnon Basketball Association,'Victorian Oral & Facial Surgeons' Junior Domestic (U8-U20),Winter 2026,Saturday U10 Boys Div  5,13/6/2026,6,JETS U10 Boys Paul,BYE,,,,,
McKinnon Basketball Association,'Victorian Oral & Facial Surgeons' Junior Domestic (U8-U20),Winter 2026,Saturday U10 Boys Div  4,13/6/2026,6,JETS U10 Boys Shannon,BYE,,,,,
McKinnon Basketball Association,'Victorian Oral & Facial Surgeons' Junior Domestic (U8-U20),Winter 2026,Saturday U18 Boys Div  2,13/6/2026,6,Pack Wolves U18 Boys,BYE,,,,,
McKinnon Basketball Association,'Victorian Oral & Facial Surgeons' Junior Domestic (U8-U20),Winter 2026,Saturday U16 Boys Div 14,13/6/2026,6,RAPTORS U16 Boys Dan,BYE,,,,,
McKinnon Basketball Association,'Victorian Oral & Facial Surgeons' Junior Domestic (U8-U20),Winter 2026,Saturday U12 Boys Div  1 (Pool 1),13/6/2026,6,Saints U12 Boys Knicks,BYE,,,,,
McKinnon Basketball Association,'Victorian Oral & Facial Surgeons' Junior Domestic (U8-U20),Winter 2026,Saturday U14 Boys Div  3,13/6/2026,6,St Kilda Warriors BRAVE U14 Boys,BYE,,,,,
McKinnon Basketball Association,'Victorian Oral & Facial Surgeons' Junior Domestic (U8-U20),Winter 2026,Saturday U12 Boys Div  4,13/6/2026,6,Timberwolves U12 Boys,BYE,,,,,
McKinnon Basketball Association,'Victorian Oral & Facial Surgeons' Junior Domestic (U8-U20),Winter 2026,Saturday U10 Boys Div  8 Modified,13/6/2026,6,Vampires Basketball U10 Boys Howlers,BYE,,,,,
McKinnon Basketball Association,'Victorian Oral & Facial Surgeons' Junior Domestic (U8-U20),Winter 2026,Saturday U16 Boys Div 13,13/6/2026,6,Vampires Basketball U16 Boys Stingrays,BYE,,,,,
McKinnon Basketball Association,'Victorian Oral & Facial Surgeons' Junior Domestic (U8-U20),Winter 2026,Saturday U12 Boys Div 11,13/6/2026,6,White Wolves U12 Boys,BYE,,,,,
McKinnon Basketball Association,'Victorian Oral & Facial Surgeons' Junior Domestic (U8-U20),Winter 2026,Saturday U10 Boys Div  4,13/6/2026,6,St Kilda Warriors POWER U10 Boys,Saints U10 Boys Nuggets,Bentleigh Secondary College,Court 3,13/6/2026,08:15AM,
McKinnon Basketball Association,'Victorian Oral & Facial Surgeons' Junior Domestic (U8-U20),Winter 2026,Saturday U10 Boys Div  2,13/6/2026,6,Hero Warriors U10 Boys,Thunder Wolves U10 Boys,Bentleigh Secondary College,Court 4,13/6/2026,08:15AM,
McKinnon Basketball Association,'Victorian Oral & Facial Surgeons' Junior Domestic (U8-U20),Winter 2026,Saturday U10 Boys Div  6,13/6/2026,6,MM U10 Boys Cubs,RAPTORS U10 Boys James,Moorabbin Primary School,Court 1,13/6/2026,08:15AM,
McKinnon Basketball Association,'Victorian Oral & Facial Surgeons' Junior Domestic (U8-U20),Winter 2026,Saturday U12 Boys Div  8,13/6/2026,6,Lakers U12 Boys Gold,Zulu Warriors U12 Boys,RSEA Park - St Kilda Football Club,Court 1,13/6/2026,08:15AM,
McKinnon Basketball Association,'Victorian Oral & Facial Surgeons' Junior Domestic (U8-U20),Winter 2026,Saturday U12 Boys Div  8,13/6/2026,6,RAPTORS U12 Boys Mar,ABA U12 Wolverines Devils,Carnegie Primary School,Court 1,13/6/2026,08:15AM,
McKinnon Basketball Association,'Victorian Oral & Facial Surgeons' Junior Domestic (U8-U20),Winter 2026,Saturday U8 Mixed GREEN,13/6/2026,6,RAPTORS U8 Boys George,Ice Wolves U8 Boys,Bentleigh Secondary College,Court 1,13/6/2026,08:15AM,
McKinnon Basketball Association,'Victorian Oral & Facial Surgeons' Junior Domestic (U8-U20),Winter 2026,Saturday U10 Boys Div  9 Modified,13/6/2026,6,Jedi Warriors U10 Boys,Carnegie Chargers U10 Boys Bernard & Simon,Cheltenham Secondary College,Court 1,13/6/2026,08:15AM,
