Grade,Team,Linked_Team1,Linked_Team2,Linked_Team3,Linked_Team4,Linked_Team5,Linked_Team6,Linked_Team7,Linked_Team8,Unavailable_Times
Saturday U10 Boys Div  1,Lakers U10 Boys Gold,,,,,,,,,
Saturday U10 Boys Div  1,St Kilda Warriors BRAVE U10 Boys,St Kilda Warriors POWER U10 Boys,St Kilda Warriors BRAVE U12 Boys,St Kilda Warriors POWER U12 Boys,St Kilda Warriors FIERCE U12 Boys,St Kilda Warriors BOLD U12 Boys,St Kilda Warriors STRONG U12 Boys,St Kilda Warriors SPIRIT U12 Boys,,>9 am
Saturday U10 Boys Div  1,Thunder Warriors U10 Boys,,,,,,,,,<11 am
Saturday U10 Boys Div  1,Tigers U10 Boys Claws,,,,,,,,,
Saturday U10 Boys Div  2,ABA U10 Wolverines Mighty,,,,,,,,,
Saturday U10 Boys Div  2,Carnegie Chargers U10 Boys Andrew,Carnegie Chargers U12 Boys Andrew,Carnegie Chargers U14 Boys Beau,,,,,,,
Saturday U10 Boys Div  2,Hero Warriors U10 Boys,Le Bron Warriors U12 Boys,,,,,,,,
Saturday U10 Boys Div  2,RAPTORS U10 Boys Damien,,,,,,,,,
Saturday U10 Boys Div  2,Saints U10 Boys Sonics,,,,,,,,,
Saturday U10 Boys Div  2,Thunder Wolves U10 Boys,,,,,,,,,>9:45 am
Saturday U10 Boys Div  2,Tigers OG Stars,,,,,,,,,
Saturday U10 Boys Div  2,Vampires Basketball U10 Boys Midnight Vampires,,,,,,,,,
Saturday U10 Boys Div  3,JETS U10 Boys Serge,JETS U10 Boys Jason,JETS U12 Boys David,,,,,,,
Saturday U10 Boys Div  3,Lakers U10 Boys Black,,,,,,,,,
Saturday U10 Boys Div  3,Lakers U10 Boys Green,Lakers U12 Boys Gold,,,,,,,,
Saturday U10 Boys Div  3,Lakers U10 Boys Red,,,,,,,,,
Saturday U10 Boys Div  3,Magic Wolves U10 Boys,,,,,,,,,
Saturday U10 Boys Div  3,MM U10 Boys Pistons,MM U14 Boys Blazers,MM U14 Boys Spurs,MM U18 Boys Thunder,MM U12 Boys Rockets,,,,,
Saturday U10 Boys Div  3,RAPTORS U10 Boys Andy,,,,,,,,,
Saturday U10 Boys Div  3,Saints U10 Boys Hounds,,,,,,,,,
Saturday U10 Boys Div  4,JETS U10 Boys Jason,JETS U10 Boys Serge,JETS U12 Boys David,,,,,,,
Saturday U10 Boys Div  4,JETS U10 Boys Shannon,JETS U8 Boys Shannon,,,,,,,,
Saturday U10 Boys Div  4,Lakers U10 Boys Blue,,,,,,,,,
Saturday U10 Boys Div  4,Saints U10 Boys Nuggets,,,,,,,,,>9:45 am
Saturday U10 Boys Div  4,Saints U10 Boys Storm,,,,,,,,,
Saturday U10 Boys Div  4,St Kilda Warriors POWER U10 Boys,St Kilda Warriors BRAVE U10 Boys,St Kilda Warriors BRAVE U12 Boys,St Kilda Warriors POWER U12 Boys,St Kilda Warriors FIERCE U12 Boys,St Kilda Warriors BOLD U12 Boys,St Kilda Warriors STRONG U12 Boys,St Kilda Warriors SPIRIT U12 Boys,Melbourne Wolves U8 Carter,
Saturday U10 Boys Div  4,Werewolves U10 Boys,,,,,,,,,
Saturday U10 Boys Div  5,ABA U10 Wolverines Shatter,,,,,,,,,
Saturday U10 Boys Div  5,Carnegie Chargers U10 Boys Greg & Darcy,Carnegie Chargers U14 Boys Greg,Carnegie Chargers U16 Boys Greg,,,,,,,
Saturday U10 Boys Div  5,Carnegie Chargers U10 Boys Justin,Carnegie Chargers U12 Boys Justin,,,,,,,,
Saturday U10 Boys Div  5,JETS U10 Boys Dan,,,,,,,,,
Saturday U10 Boys Div  5,JETS U10 Boys James,,,,,,,,,
Saturday U10 Boys Div  5,JETS U10 Boys Paul,,,,,,,,,
Saturday U10 Boys Div  5,MM U10 Boys Clippers,MM U14 Boys Pacers,,,,,,,,
Saturday U10 Boys Div  5,MM U10 Boys Raiders,MM U12 Boys Rockets,,,,,,,,
Saturday U10 Boys Div  5,MM U10 Boys Sharks,,,,,,,,,
Saturday U10 Boys Div  6,Apache Warriors U10 Boys,,,,,,,,,
Saturday U10 Boys Div  6,JETS U10 Boys Anton,JETS U12 Boys Anton,,,,,,,,
Saturday U10 Boys Div  6,MM U10 Boys Cubs,MM U8 Boys Phoenix,,,,,,,,>10:30 am
Saturday U10 Boys Div  6,RAPTORS U10 Boys Dillon/Christian,,,,,,,,,
Saturday U10 Boys Div  6,RAPTORS U10 Boys James,,,,,,,,,
Saturday U10 Boys Div  6,Saints U10 Boys Celtics,,,,,,,,,
Saturday U10 Boys Div  7,Combat Warriors U10 Boys,All Star Warriors U8 Mixed,Spirit Warriors U12 Boys,,,,,,,
Saturday U10 Boys Div  7,JETS U10 Boys Josh,,,,,,,,,
Saturday U10 Boys Div  7,JETS U10 Boys Lauren & Ryan,,,,,,,,,
Saturday U10 Boys Div  7,Lakers U10 Boys Burgundy,,,,,,,,,
Saturday U10 Boys Div  7,Lakers U10 Boys Navy,,,,,,,,,
Saturday U10 Boys Div  7,Lakers U10 Boys Orange,,,,,,,,,
Saturday U10 Boys Div  7,Lakers U10 Boys Silver,,,,,,,,,
Saturday U10 Boys Div  7,Lakers U10 Boys Yellow,,,,,,,,,
Saturday U10 Boys Div  7,RAPTORS U10 Boys Andrew,,,,,,,,,>9:45 am
Saturday U10 Boys Div  7,Sonic Wolves U10 Boys,,,,,,,,,
Saturday U10 Boys Div  8 Modified,Howling Wolves U10 Boys,,,,,,,,,
Saturday U10 Boys Div  8 Modified,JETS U10 Boys Anthony,,,,,,,,,
Saturday U10 Boys Div  8 Modified,JETS U10 Boys Daniel,,,,,,,,,
Saturday U10 Boys Div  8 Modified,Saints U10 Boys Lightning,,,,,,,,,
Saturday U10 Boys Div  8 Modified,Saints U10 Boys Rockets,,,,,,,,,
Saturday U10 Boys Div  8 Modified,Sonic Warriors U10 Boys,Immortal Warriors U14 Boys,,,,,,,,<10 am
Saturday U10 Boys Div  8 Modified,Vampires Basketball U10 Boys Howlers,,,,,,,,,
Saturday U10 Boys Div  9 Modified,Carnegie Chargers U10 Boys Bernard & Simon,,,,,,,,,
