Venue,Playing Surface,Day,Time_Slots
Bentleigh Secondary College,Court 1,Saturday,"8:15 am, 9 am, 9:45 am, 10:30 am, 11:15 am, 12 pm, 12:45 pm, 1:30 pm, 2:15 pm, 3 pm, 3:45 pm, 4:30 pm, 5:15 pm, 6 pm"
Bentleigh Secondary College,Court 2,Saturday,"8:15 am, 9 am, 9:45 am, 10:30 am, 11:15 am, 12 pm, 12:45 pm, 1:30 pm, 2:15 pm, 3 pm, 3:45 pm, 4:30 pm, 5:15 pm, 6 pm"
Bentleigh Secondary College,Court 3,Saturday,"8:15 am, 9 am, 9:45 am, 10:30 am, 11:15 am, 12 pm, 12:45 pm, 1:30 pm, 2:15 pm, 3 pm, 3:45 pm, 4:30 pm, 5:15 pm, 6 pm"
Bentleigh Secondary College,Court 4,Saturday,"8:15 am, 9 am, 9:45 am, 10:30 am, 11:15 am, 12 pm, 12:45 pm, 1:30 pm, 2:15 pm, 3 pm, 3:45 pm, 4:30 pm, 5:15 pm, 6 pm"
Brighton Secondary College,Court 1,Saturday,"9 am, 9:45 am, 10:30 am, 11:15 am, 12 pm, 12:45 pm, 1:30 pm, 2:15 pm, 3 pm, 3:45 pm, 4:30 pm, 5:15 pm"
Brighton Secondary College,Court 2,Saturday,"9 am, 9:45 am, 10:30 am, 11:15 am, 12 pm, 12:45 pm, 1:30 pm, 2:15 pm, 3 pm, 3:45 pm, 4:30 pm, 5:15 pm"
Carnegie Primary School,Court 1,Saturday,"8:15 am, 9 am, 9:45 am, 10:30 am, 11:15 am, 12 pm, 12:45 pm, 1:30 pm"
Cheltenham Secondary College,Court 1,Saturday,"8:15 am, 9 am, 9:45 am, 10:30 am, 11:15 am, 12 pm, 12:45 pm, 1:30 pm, 2:15 pm, 3 pm, 3:45 pm, 4:30 pm"
Cheltenham Secondary College,Court 2,Saturday,"8:15 am, 9 am, 9:45 am, 10:30 am, 11:15 am, 12 pm, 12:45 pm, 1:30 pm, 2:15 pm, 3 pm, 3:45 pm, 4:30 pm"
Coatesville Primary School,Court 1,Saturday,"8:15 am, 9 am, 9:45 am, 10:30 am, 11:15 am, 12 pm, 12:45 pm, 1:30 pm, 2:15 pm, 3 pm"
Glen Eira Sports & Aquatic Centre,Court 1,Saturday,"10:45 am, 11:30 am, 12:15 pm, 1 pm, 1:45 pm"
Glen Eira Sports & Aquatic Centre,Court 2,Saturday,"10:45 am, 11:30 am, 12:15 pm, 1 pm, 1:45 pm, 2:30 pm, 3:15 pm"
Glen Eira Sports & Aquatic Centre,Court 3,Saturday,"10:45 am, 11:30 am, 12:15 pm, 1 pm, 1:45 pm, 2:30 pm, 3:15 pm, 4 pm, 4:45 pm, 5:30 pm, 6:15 pm"
Glen Huntly Primary School,Court 1,Saturday,"1:30 pm, 2:15 pm, 3 pm, 3:45 pm, 4:30 pm"
McKinnon Secondary College,Court 1 - Main Campus,Saturday,"8:15 am, 9 am, 9:45 am, 10:30 am, 11:15 am, 12 pm, 12:45 pm, 1:30 pm, 2:15 pm, 3 pm, 3:45 pm, 4:30 pm"
McKinnon Secondary College,Court 2 - Cnr of Walnut & Bewdley st,Saturday,"9:15 am, 10 am, 10:45 am, 11:30 am, 12:15 pm, 1 pm, 1:45 pm, 2:30 pm, 3:15 pm, 4 pm"
Monash Sport - Clayton,Games Hall Court 1,Saturday,
Monash Sport - Clayton,Recreation Hall Court 1,Saturday,
Monash Sport - Clayton,Recreation Hall Court 2,Saturday,
